asset,period,nmse_misa,nmse_lstm,nmse_gru,dm_stat_vs_lstm,dm_pval_vs_lstm,dm_stat_vs_gru,dm_pval_vs_gru,win_vs_lstm,win_vs_gru,rel_nmse_diff_vs_lstm,rel_nmse_diff_vs_gru
1INCH,P1,0.156412,0.153455,0.154985,-0.9881,0.3233,-0.8458,0.3978,0,0,-0.019268,-0.009207
1INCH,P2,0.686774,0.650313,0.653922,-4.0244,0.0001,-3.1215,0.0018,0,0,-0.056065,-0.050238
1INCH,P3,0.23147,0.2262,0.229874,-1.5974,0.1103,-1.1131,0.2658,0,0,-0.023297,-0.006943
AAVE,P1,0.051553,0.052997,0.053855,2.3866,0.0171,2.0732,0.0383,1,1,0.027251,0.042753
AAVE,P2,0.243176,0.241394,0.238121,1.451,0.147,-0.0412,0.9671,0,0,-0.007383,-0.021232
AAVE,P3,0.145429,0.146481,0.144699,-0.5018,0.6159,0.6608,0.5088,1,0,0.007182,-0.005042
ADA,P1,0.072103,0.072903,0.07456,1.1571,0.2474,1.6126,0.107,1,1,0.010976,0.032958
ADA,P2,0.373322,0.375752,0.373788,2.2666,0.0235,0.9032,0.3666,1,1,0.006469,0.001248
ADA,P3,0.137037,0.142109,0.14493,2.1596,0.0309,1.7494,0.0804,1,1,0.035689,0.054461
ALGO,P1,0.024643,0.024349,0.024732,-0.6824,0.4951,-0.5742,0.5659,0,1,-0.012094,0.003593
ALGO,P2,0.369581,0.36869,0.370835,-0.5394,0.5897,-1.3849,0.1663,0,1,-0.002417,0.003381
ALGO,P3,0.19712,0.201723,0.204379,2.4952,0.0127,2.2848,0.0224,1,1,0.022819,0.03552
ANKR,P1,0.04996,0.051202,0.053155,2.9825,0.0029,3.7176,0.0002,1,1,0.024248,0.060101
ANKR,P2,0.429122,0.428669,0.4324,0.4241,0.6716,1.4159,0.157,0,1,-0.001058,0.00758
ANKR,P3,0.554158,0.551403,0.555559,-0.7291,0.4661,0.3007,0.7637,0,1,-0.004996,0.002522
APE,P1,0.180518,0.182566,0.182855,2.3234,0.0203,1.7002,0.0893,1,1,0.011215,0.01278
APE,P2,0.371683,0.371891,0.372856,1.3015,0.1933,1.6894,0.0913,1,1,0.000561,0.003146
APE,P3,0.12266,0.124342,0.126732,4.0438,0.0001,2.1965,0.0282,1,1,0.013528,0.032132
APT,P1,0.054307,0.055051,0.054784,0.9007,0.3679,1.098,0.2724,1,1,0.013523,0.008722
APT,P2,0.296952,0.301483,0.300717,1.0673,0.286,0.7493,0.4538,1,1,0.015029,0.012519
APT,P3,0.206148,0.206788,0.207131,-0.1927,0.8472,0.5053,0.6134,1,1,0.003095,0.004748
ARB,P2,0.539612,0.541891,0.542836,1.7186,0.0859,1.8645,0.0624,1,1,0.004205,0.005939
ARB,P3,0.079941,0.078661,0.078104,2.1038,0.0355,1.1135,0.2656,0,0,-0.01628,-0.023522
ATOM,P1,0.044916,0.043592,0.044341,1.1791,0.2385,1.0363,0.3002,0,0,-0.030374,-0.012963
ATOM,P2,0.360582,0.356033,0.356361,-2.3655,0.0181,-1.2295,0.219,0,0,-0.012776,-0.011844
ATOM,P3,0.262458,0.262585,0.262713,0.5322,0.5946,-0.2075,0.8356,1,1,0.000484,0.000972
AVAX,P1,0.054578,0.055397,0.056443,0.4171,0.6766,2.037,0.0418,1,1,0.01479,0.033036
