asset,n_periods,mean_rel_diff_vs_lstm,mean_rel_diff_vs_gru
1INCH,3,-0.032877,-0.022129
AAVE,3,0.009017,0.005493
ADA,3,0.017711,0.029556
ALGO,3,0.002769,0.014165
ANKR,3,0.006065,0.023401
APE,3,0.008435,0.016019
APT,3,0.010549,0.008663
ARB,2,-0.006037,-0.008792
ATOM,3,-0.014222,-0.007945
AVAX,3,0.020806,0.032744
AXS,3,0.005767,0.01498
BAL,3,-0.021838,0.019632
BAT,3,2.4e-05,0.010519
BCH,3,0.005858,0.001657
BTC,3,0.033945,0.050117
CHZ,3,0.014276,0.03079
COMP,3,0.002934,0.005961
CRV,3,0.009013,0.006993
DOGE,3,0.012386,0.021646
DOT,3,0.004319,0.002064
ENJ,3,-0.025397,-0.016671
EOS,3,0.001716,0.019644
ETH,3,0.022427,0.017037
GRT,3,-0.008612,-0.005429
HBAR,3,0.013657,0.032792
ICP,3,0.002842,0.011719
LINK,3,0.006629,0.012676
LRC,3,0.005812,0.002203
LTC,3,0.016246,0.006074
MANA,3,0.004684,0.011823
MATIC,3,0.011421,0.028526
MKR,3,-0.000736,0.003547
NEAR,3,-0.009731,-0.003359
NMR,3,-0.008709,-0.001825
OP,3,0.013348,0.011853
OXT,3,0.001669,0.013284
SAND,3,0.004597,0.01365
SHIB,3,-0.000147,0.004126
SNX,3,-0.012179,0.018798
SOL,3,0.000805,0.019053
SUSHI,3,0.024601,0.025932
UNI,3,0.014322,0.018182
VET,2,-0.012779,0.000153
XRP,3,0.013453,0.011332
XTZ,3,0.009253,0.014224
YFI,3,0.011407,0.01678
ZRX,3,0.020265,0.024559
